"dataset_id","dataset_label","provider_ddb_id","provider_id","provider_name","provider_state","provider_sector","supplier_ddb_id","supplier_id","supplier_name","aggregator_ddb_id","aggregator_id","aggregator_name","count","ingest_id","metadata_format","ingest_complete_date"
"379df19d13a273b1abe05ab7a27a33822a8cd0e2","00001370_findbuch","RTZH6CGPNKTPIFMOK7B62Y6262NRNUID","'00001370","Stadtarchiv Dortmund","Nordrhein-Westfalen","Archiv","RTZH6CGPNKTPIFMOK7B62Y6262NRNUID","'00001370","Stadtarchiv Dortmund","","","","993","379df19d13a273b1abe05ab7a27a33822a8cd0e2","urn:isbn:1-931666-22-9","2018-04-19T08:51:41+0200"
"c890686018e37759077942373aef36ca09391984","00000228_tektonik","JWBEKCSKBDEMBMC2D4VBF7BM4PKIQLXR","'00000228","Universitätsarchiv der Albert-Ludwigs-Universität Freiburg","Baden-Württemberg","Archiv","JWBEKCSKBDEMBMC2D4VBF7BM4PKIQLXR","'00000228","Universitätsarchiv der Albert-Ludwigs-Universität Freiburg","","","","977","c890686018e37759077942373aef36ca09391984","urn:isbn:1-931666-22-9","2018-04-18T21:15:38+0200"
"0e1a87d2b8d647d58a9b975e19dc2b7c655c3862","00014072_1319442703","265BI7NE7QBS4NQMZCCGIVLFR73OCOSL","'00014072","Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden","Sachsen","Bibliothek","265BI7NE7QBS4NQMZCCGIVLFR73OCOSL","'00014072","Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden","","","","961","0e1a87d2b8d647d58a9b975e19dc2b7c655c3862","http://purl.org/dc/elements/1.1/","2018-04-11T11:45:20+0200"
"9e9ec2444a751fe25b362d0c0b8bc0c02d9f229f","99900864_20151215","BWAA3A4ONLJ36GTVBBMIM2VLM3ZIYIHH","'99900864","Deutsche Kinemathek - Museum für Film und Fernsehen (Archiv)","Berlin","Archiv","BWAA3A4ONLJ36GTVBBMIM2VLM3ZIYIHH","'99900864","Deutsche Kinemathek - Museum für Film und Fernsehen (Archiv)","","","","960","9e9ec2444a751fe25b362d0c0b8bc0c02d9f229f","http://www.filmstandards.org/schemas/OAI/2.0/oai_dif/","2018-04-11T15:00:02+0200"
"9e9ec2444a751fe25b362d0c0b8bc0c02d9f229f","99900864_20151215","ZNDMV3JGX3OTVAWIO7O5GJ5IBYCZLFN5","'00012006","Deutsche Kinemathek - Museum für Film und Fernsehen","Berlin","Museum","BWAA3A4ONLJ36GTVBBMIM2VLM3ZIYIHH","'99900864","Deutsche Kinemathek - Museum für Film und Fernsehen (Archiv)","","","","960","9e9ec2444a751fe25b362d0c0b8bc0c02d9f229f","http://www.filmstandards.org/schemas/OAI/2.0/oai_dif/","2018-04-11T15:00:02+0200"
"b737d506bda5d0adf8edbcd19ea1cf57ef7db621","00011946_20160603","PH6MDT3GZG4M4NWB2RO66JMHYEUUFQOH","'00006024","Christian-Albrechts-Universität zu Kiel","Schleswig-Holstein","Forschung","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","889","b737d506bda5d0adf8edbcd19ea1cf57ef7db621","http://www.loc.gov/METS/","2018-04-29T00:19:17+0200"
"b737d506bda5d0adf8edbcd19ea1cf57ef7db621","00011946_20160603","TY4LTKZZ2GIISVAT2IBMYP4AROCQ4574","'00011946","Christian-Albrechts-Universität zu Kiel. Universitätsbibliothek","Schleswig-Holstein","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","889","b737d506bda5d0adf8edbcd19ea1cf57ef7db621","http://www.loc.gov/METS/","2018-04-29T00:19:17+0200"
"b737d506bda5d0adf8edbcd19ea1cf57ef7db621","00011946_20160603","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","Niedersachsen","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","889","b737d506bda5d0adf8edbcd19ea1cf57ef7db621","http://www.loc.gov/METS/","2018-04-29T00:19:17+0200"
"b2e84a28c4f440b3cf2c7c7418e851b13f82a3b6","00020524_part_20170323","DWIVLJW5JBO7X4XRO2Y7PCGZSHLTUS6F","'00050020","Digitales Kunst- und Kulturarchiv Düsseldorf - Kulturamt der Landeshauptstadt Düsseldorf","Nordrhein-Westfalen","Sonstige","DWIVLJW5JBO7X4XRO2Y7PCGZSHLTUS6F","'00050020","Digitales Kunst- und Kulturarchiv Düsseldorf - Kulturamt der Landeshauptstadt Düsseldorf","","","","815","b2e84a28c4f440b3cf2c7c7418e851b13f82a3b6","http://www.lido-schema.org/","2018-04-16T18:09:31+0200"
"b2e84a28c4f440b3cf2c7c7418e851b13f82a3b6","00020524_part_20170323","SBJ5ZMK722AEIADWU5O3EMHKIV7T5MDE","'00020524","Theatermuseum der Landeshauptstadt Düsseldorf","Nordrhein-Westfalen","Museum","DWIVLJW5JBO7X4XRO2Y7PCGZSHLTUS6F","'00050020","Digitales Kunst- und Kulturarchiv Düsseldorf - Kulturamt der Landeshauptstadt Düsseldorf","","","","815","b2e84a28c4f440b3cf2c7c7418e851b13f82a3b6","http://www.lido-schema.org/","2018-04-16T18:09:31+0200"
"07bf4694cb41e63f0811b822353bce4c86ce995a","00001476_findbuch","J6JLPZVEFLZSZ25RJ23VOHWOVO27BDKN","'00001476","Stadtarchiv Halle (Saale)","Sachsen-Anhalt","Archiv","J6JLPZVEFLZSZ25RJ23VOHWOVO27BDKN","'00001476","Stadtarchiv Halle (Saale)","","","","802","07bf4694cb41e63f0811b822353bce4c86ce995a","urn:isbn:1-931666-22-9","2018-04-18T20:30:13+0200"
"d0421343949f99b7deddc608cb2231078133a133","00013293_20150211","WF2MO3SKMVSNQQINQXU37OLMDVAWMYTE","'00013293","Martin-Opitz-Bibliothek Herne","Nordrhein-Westfalen","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","781","d0421343949f99b7deddc608cb2231078133a133","http://www.loc.gov/METS/","2018-04-29T00:33:05+0200"
"d0421343949f99b7deddc608cb2231078133a133","00013293_20150211","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","Niedersachsen","Bibliothek","X6VKVOM5HGHDIQX36BI3ZKWROZTN74UX","'00000463","zvdd – Zentrales Verzeichnis Digitalisierter Drucke","","","","781","d0421343949f99b7deddc608cb2231078133a133","http://www.loc.gov/METS/","2018-04-29T00:33:05+0200"
"d7b2603b2e6dcd123b491e4b916c4e3412030327","00001476_tektonik","J6JLPZVEFLZSZ25RJ23VOHWOVO27BDKN","'00001476","Stadtarchiv Halle (Saale)","Sachsen-Anhalt","Archiv","J6JLPZVEFLZSZ25RJ23VOHWOVO27BDKN","'00001476","Stadtarchiv Halle (Saale)","","","","761","d7b2603b2e6dcd123b491e4b916c4e3412030327","urn:isbn:1-931666-22-9","2018-04-18T20:36:18+0200"
"9dba305a329a85113ca09089d30ff28137f3bc30","00007593_20131213","UNYU6FLRXOAZQFWTLVKJAAW6DRR7UAFF","'00007593","Kunstsammlungen der Veste Coburg","Bayern","Museum","UNYU6FLRXOAZQFWTLVKJAAW6DRR7UAFF","'00007593","Kunstsammlungen der Veste Coburg","","","","725","9dba305a329a85113ca09089d30ff28137f3bc30","http://www.lido-schema.org/","2018-04-16T20:10:50+0200"
"3ab7e26b63f818004efcde776abe38d59841b8e0","99900678_full_20161220","IPSQKSWH46RX2B475NRZARHV4SFHLQGZ","'00008615","FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur","Baden-Württemberg","Forschung","KK4A6EHE2TFIRFTJHARTPTKJEDDEQMUL","'99900678","BINE Informationsdienst","","","","717","3ab7e26b63f818004efcde776abe38d59841b8e0","http://purl.org/dc/elements/1.1/","2018-04-11T12:37:54+0200"
"3ab7e26b63f818004efcde776abe38d59841b8e0","99900678_full_20161220","KK4A6EHE2TFIRFTJHARTPTKJEDDEQMUL","'99900678","BINE Informationsdienst","Nordrhein-Westfalen","Forschung","KK4A6EHE2TFIRFTJHARTPTKJEDDEQMUL","'99900678","BINE Informationsdienst","","","","717","3ab7e26b63f818004efcde776abe38d59841b8e0","http://purl.org/dc/elements/1.1/","2018-04-11T12:37:54+0200"
"783b9dfd91dbe3df6f6fae058c1287a8679d92a6","00050343_full_20171012","5IMBCSZN7ZVL77HVH4GKX3GXNPD6X2NO","'oid1470138199651","Deutsche Fotothek","Sachsen","Mediathek","7NZ2LE7EDVMF2LUHO7NJIUOPW2KUGZQ2","'00050343","Schloss- und Spielkartenmuseum Altenburg","","","","706","783b9dfd91dbe3df6f6fae058c1287a8679d92a6","http://www.lido-schema.org/","2018-04-14T17:11:07+0200"
